,city,country,lat,lon,temp,humidity,wind_speed,cloudiness
357,Talas,TR,38.69,35.55,68.0,49,12.75,75
358,Rio Grande,BR,-32.03,-52.1,65.99,93,6.78,20
359,Biskamzha,RU,53.45,89.53,49.16,53,2.82,0
360,Kaitangata,NZ,-46.28,169.85,54.2,50,18.81,68
361,Nome,US,30.04,-94.42,75.85,88,6.93,90
362,Santa Isabel do Rio Negro,BR,-0.41,-65.02,75.98,91,2.37,36
363,Rognan,NO,67.1,15.4,44.6,93,21.92,75
364,San Cristobal,EC,-0.39,-78.55,51.8,87,2.24,75
365,Methven,NZ,-43.63,171.65,49.25,57,6.85,0
366,Banjar,ID,-7.37,108.54,85.07,50,7.85,48
367,Muravlenko,RU,63.79,74.5,37.91,92,17.81,92
368,Udpura,IN,24.73,75.99,96.14,34,4.21,0
369,Burnie,AU,-41.05,145.91,55.82,94,18.3,0
370,Porto Novo,BR,-23.68,-45.44,68.0,100,2.24,75
371,Tateyama,JP,36.66,137.31,69.8,73,11.41,75
372,Natal,BR,-5.81,-35.21,73.4,83,8.05,40
373,Cap Malheureux,MU,-19.98,57.61,78.8,69,18.34,75
374,Astana,KZ,51.13,71.43,62.6,42,17.9,0
375,Simao,CN,22.76,100.79,63.65,98,2.26,68
376,Alofi,NU,-19.06,-169.92,71.6,100,9.17,64
377,Gubkinskiy,RU,64.43,76.5,40.25,82,13.44,88
378,Souillac,FR,45.6,-0.6,61.79,82,5.82,0
379,Gat,SN,14.69,-16.54,83.9,81,8.08,0
380,Pulandian,CN,39.4,121.96,53.6,58,13.42,40
381,Mitzic,GA,0.78,11.55,79.94,84,2.98,32
382,Zhuanghe,CN,39.7,122.97,52.94,100,15.9,68
383,Tiznit,MA,29.7,-9.73,69.05,96,5.55,0
384,Ucluelet,CA,48.94,-125.55,48.6,100,1.39,80
385,Bestobe,KZ,52.5,73.1,65.18,37,20.94,0
386,Cascais,PT,38.7,-9.42,64.85,37,13.87,0
387,Tilichiki,RU,60.47,166.1,38.09,82,7.78,0
388,Aasiaat,GL,68.71,-52.87,29.81,100,11.03,64
389,Vershino-Darasunskiy,RU,52.35,115.52,40.88,49,6.89,0
390,Sungaipenuh,ID,-2.08,101.38,73.55,81,1.03,76
391,Uvalde,US,29.21,-99.79,75.9,95,11.41,90
392,Mbini,GQ,1.58,9.62,75.2,100,7.56,40
393,Komsomolskiy,RU,67.55,63.78,37.1,100,10.87,88
394,Hibbing,US,47.43,-92.94,38.73,93,6.93,90
395,Herat,AF,34.35,62.22,60.8,18,9.17,0
396,Meulaboh,ID,4.14,96.13,80.12,100,3.09,48
397,Szczytno,PL,53.57,20.99,52.58,77,8.63,8
398,Mehran,IR,33.12,46.17,84.2,26,4.7,40
399,Japura,ID,-0.42,102.29,81.47,81,2.3,92
400,Lima,PE,-12.06,-77.04,51.32,78,2.04,8
401,Mildura,AU,-34.18,142.16,68.24,56,12.88,88
402,Lusambo,CD,-4.97,23.44,78.32,83,2.86,88
403,The Valley,AI,18.22,-63.06,82.4,78,9.17,40
404,Kavaratti,IN,10.57,72.64,83.72,100,7.78,48
405,Talin,AM,40.38,43.87,63.91,47,3.36,75
406,Tautira,PF,-17.73,-149.15,78.8,74,4.7,20
407,Holesov,CZ,49.33,17.58,56.01,76,5.82,8
408,Ritchie,ZA,-29.03,24.6,86.0,13,11.41,0
409,Sangar,RU,63.92,127.47,29.18,82,2.59,88
410,Pampa,US,35.54,-100.96,61.23,95,6.93,90
411,Sekoma,BW,-24.51,23.93,80.21,26,16.06,44
412,Luanda,AO,-8.83,13.24,78.8,74,6.93,20
413,Flin Flon,CA,54.77,-101.88,25.4,100,6.4,0
414,Rawson,AR,-43.3,-65.11,47.72,30,21.39,0
415,Fatezh,RU,52.09,35.86,50.0,81,8.95,90
416,Padilla,CO,3.23,-76.31,66.2,93,2.24,75
417,Mezen,RU,65.85,44.24,37.37,86,10.76,92
418,Kontagora,NG,10.4,5.47,81.29,88,5.5,44
419,Winnemucca,US,40.97,-117.74,51.08,73,2.26,90
420,Mangai,CD,-4.07,19.59,80.93,78,2.86,20
421,Broken Hill,AU,-31.97,141.45,68.6,45,12.03,0
422,Vostok,RU,46.45,135.83,42.77,53,5.73,92
423,Bintulu,MY,3.17,113.03,86.0,79,8.05,75
424,Ossora,RU,59.24,163.07,39.8,99,13.56,8
425,Jaisalmer,IN,26.91,70.91,97.85,30,6.22,0
426,Aden,YE,12.79,45.03,82.64,95,5.1,0
427,Sergeyevka,KZ,53.88,67.42,59.42,52,21.43,0
428,Washington DC.,US,38.9,-77.04,70.84,87,4.54,90
429,Shingu,JP,33.72,135.99,73.4,78,5.82,20
430,La Ronge,CA,55.1,-105.3,14.0,92,4.7,5
431,Lobito,AO,-12.35,13.55,77.0,69,3.76,90
432,Udachnyy,RU,66.42,112.4,41.33,74,4.83,48
433,Freeport,BS,26.54,-78.7,80.48,100,18.7,88
434,Vanimo,PG,-2.67,141.3,85.25,100,9.08,8
435,Kondoa,TZ,-4.91,35.78,72.74,64,8.34,32
436,Priyutnoye,RU,46.1,43.51,64.4,72,6.71,40
